VAR00001,VAR00002,VAR00003,VAR00004,VAR00005,VAR00006,VAR00007,VAR00008,VAR00009,VAR00010,VAR00011,VAR00012,VAR00013,VAR00014,VAR00015,VAR00016,VAR00017,VAR00018,VAR00019,VAR00020,VAR00021,VAR00022,VAR00023,VAR00024,VAR00025,VAR00026,VAR00027,VAR00028,VAR00029,VAR00030,VAR00031,VAR00032,VAR00033,VAR00034,VAR00035,VAR00036,VAR00037,VAR00038,VAR00039,VAR00040,VAR00041,VAR00042,VAR00043,VAR00044,VAR00045,VAR00046,VAR00047,VAR00048,VAR00049,VAR00050,VAR00051,VAR00052,VAR00053
0,3.840704653,78.28071982,-11.83790955,26.65962396,-21.87438539,-46.90712648,23.61549663,-27.54145745,36.74780747,74.1667383,-1.226651578,5.217931995,-3.530193419,1.528241533,27.56607659,-10.64637792,6.687557525,10.09075853,-10.94536242,15.04459083,5.317123923,-.736429737,-.082545901,-13.25766967,14.76902553,-9.437348753,7.293840831,1.19189735,1.801501414,1.150488616,7.25790218,-2.934387981,2.560139584,-1.370541129,-4.795673095,-.186354257,4.831234413,-.487035491,-3.167935764,-2.135422361,.111790724,4.629578201,6.244138209,5.913403627,-5.144210063,-.572565024,-3.244259234,-2.417408091,.444521208,4.495581773,-3.969596394,-4.092442815
1,-12.2658352,-8.951199064,9.56479512,24.08023844,-7.826389362,-2.190412165,4.359498424,-4.48447405,4.849007237,10.67053517,-3.355735125,16.31095892,-6.359309003,.80148622,3.617889872,.219735411,3.162295813,-1.401862099,1.43834253,-.168372258,2.365304316,1.374254527,-3.233612749,5.629322523,-2.84119257,3.72018563,.961837647,1.06061302,1.237843188,-.181383288,3.120966658,.452650259,2.173829657,-.172224177,-2.063795454,7.318587361,-3.690764354,-2.595384101,3.049951703,2.613526468,2.059884731,2.580062248,-3.082162274,.978962498,3.65244883,-5.054668931,-2.49864005,-.249785766,-.261438196,-4.173737298,1.061646415,-.425881862
1,33.09147276,49.24415049,4.97387974,-5.21657644,10.20691493,-9.323791251,23.58892672,-.178907376,-11.41603492,-10.51846635,-3.896985915,4.421784356,7.644460833,-4.050194553,7.983328446,5.246608455,1.37891437,2.830498927,3.224560647,-4.708852765,-2.415001647,2.667983848,1.291400933,-.607960372,-.771372543,7.395278712,-1.091189632,8.687494285,-3.992826172,-5.036163166,1.393324274,-2.681029111,-2.172598866,2.123510977,-.135322506,-1.665464438,-1.671281321,3.247217937,1.773209274,-.34256504,-4.700095954,4.122417592,2.440507617,-1.5706865,-.941791337,.073055582,-.124375169,4.045404872,-2.356265804,4.026576096,3.147071417,-2.113645378
1,-21.27634946,-2.840434906,10.83984221,6.237787034,-9.602479425,11.26602625,16.43280324,-.185938653,.988590707,-3.889585812,-5.369926426,2.802307873,.261416651,6.755845068,-1.856112218,-5.340548972,6.070564356,-.262659779,-1.933504185,-5.486707966,-2.145530567,.308983325,7.28754773,5.576339862,-1.605337883,4.862076121,-4.402213048,-.401326244,-.909604984,1.26344292,-1.857369143,.539591095,1.252572937,-3.16886268,.193601682,2.458103138,-.367266212,-.054464381,-4.769327582,3.610704602,-.604497937,2.659335753,2.785253436,1.48851214,-1.569469178,3.599404974,1.389748162,5.873356771,-3.515597892,-.04004285,-.472886315,-3.683967232
1,-29.06017207,61.27836577,17.08947869,5.319575721,10.63056009,30.02833661,-5.508069316,6.54016965,7.488167195,-9.570821392,-18.18880314,-6.217132103,8.661330708,-13.41235135,.104142996,-7.097762515,-.564643134,-8.499129611,9.991796225,3.301986421,-4.255893789,3.167675662,.145604547,2.218088257,4.352801767,1.322172701,5.276488635,-.645112399,-2.777594444,6.398003748,-.360331615,1.216601628,-3.154483226,-1.377637661,-3.076650669,2.915089576,-.469702433,-.314267029,1.768119043,1.483027505,2.052933417,-4.744157572,-1.650648618,1.124755321,-3.737667223,1.572615009,1.033690042,1.862020423,-3.360597495,-1.981403567,-.935600176,-3.569392818
0,-41.51943687,-15.85679468,-15.02247447,-11.69813671,-6.406444158,.746777294,-2.561780568,2.638140703,-5.717938239,3.532112624,-8.387373415,6.476192891,7.122585337,-6.57959116,-.38756824,.913793384,1.106773162,-.745908775,.894034838,3.91492582,-4.409950604,1.141423681,.082690753,1.823931631,-2.084748975,2.447930116,.381091138,.620612328,.842806284,-1.648358219,-.596943244,-2.832317747,5.442487342,-1.794180961,.14471338,-.994476469,-1.685598488,2.560851932,-2.945509298,-4.450957058,3.364439712,-1.305240142,.382619096,1.428099461,1.324006197,2.386709627,-1.721632281,-1.290467257,3.180558604,-4.190521392,.047358433,-.496644665
1,-50.44880289,-20.63060747,-9.973670197,1.742906955,-5.286965208,13.95515394,5.251275249,5.133907173,-.559886746,-.205967457,-2.939128015,1.67737,5.048726905,-1.138488057,1.005974333,3.276327415,3.390055557,4.994450083,-.922387432,-8.012840788,3.87138657,6.502680884,-7.332413341,.738145487,-.407868176,.838211165,-2.657094929,.855146557,2.442396549,1.280375493,.602703689,-1.25631351,-.143659819,1.648501434,-4.548784301,.499807923,-4.99221769,4.580527654,2.384060928,2.258754713,3.875661942,2.954943154,1.958766458,1.621388341,2.805439646,1.664679231,-2.525964124,-.868818254,-2.36755514,-2.599896517,-1.90828211,-2.597046579
1,-32.85831143,-21.34698809,5.18650879,-8.399352074,-10.97232142,9.138762757,3.302293425,4.093373341,-3.944201735,3.309916803,-5.809652771,-3.258955664,5.010768919,-.691108461,-2.539783163,-3.62926423,4.087938359,4.73081527,1.294553008,-2.240708766,-2.054369705,1.794319451,-.936288523,-.311340285,1.127577446,-2.062840786,5.211649029,1.983583546,-3.796212779,-4.408019392,4.853828757,1.804289785,-.986030866,3.136646548,-2.837362987,-1.002281835,-2.47245538,-3.011767425,5.418128842,.734046966,5.386127691,-2.041066688,-.005345597,1.137576666,4.43830627,3.487580902,1.267445054,-2.74822065,1.189257313,3.864445412,2.919799759,.089541952
1,6.473681579,-12.55490016,-8.892008381,-19.46298126,19.10063648,-4.044600624,1.934750079,11.03996619,-14.78538165,-9.025078835,-9.68748443,-.544743497,9.225244199,4.532944382,-6.024977533,-3.798905266,-1.131706586,-3.464776934,-1.238045124,5.343516562,2.083525416,-.560283723,-3.612783907,-4.202746807,.638866089,-8.29037527,4.441130417,6.198254427,1.817690571,.7519878,-3.184284023,-2.912434201,-4.449383261,-7.215070272,-1.743271428,-.505465328,3.480581249,-8.015220806,.026927152,-4.901430386,5.328600733,.642968995,-.355435715,1.457130304,-.031928018,-2.531673969,2.274142604,-5.299257841,2.534473856,-5.184211042,1.181123719,.165324911
0,-46.8765338,-39.03522878,29.23600309,-2.255934567,-1.967373701,-5.618434909,1.400336963,-2.028627985,-2.59865557,2.685049247,-3.991973717,7.96832229,7.045366877,1.731586611,-.888555794,5.244979656,-.111003996,1.452178281,1.224620553,6.963787948,2.738174471,-4.113611862,-3.616313995,3.324788544,.945004333,-.536376088,6.670276115,-3.832753224,-1.404260958,2.88459347,-2.70159185,-2.30436417,.897326058,-2.328257077,.911587411,4.583417504,3.511825519,1.624113275,-.100422917,1.557048375,-.267865053,-.493060086,-.258054939,.34765521,1.499539071,-2.280007459,-.920651341,2.192295022,.585134112,.008797789,2.242893052,-.068105606
